2019-04-24 19:43:20.984138
ItemName|Krafting Price| selling price|porfit?/item| reci
T4_FURNITUREITEM_REPAIRKIT | 2336 | 6650 | 4314 | {'T4_METALBAR': '8' and 'T4_PLANKS': '8'}
T1_FISHINGBAIT | 259 | 700 | 441 | {'T1_WORM': '1'}
T3_FISHINGBAIT | 1295 | 2249 | 954 | {'T1_WORM': '5'}
T5_FISHINGBAIT | 6475 | 13000 | 6525 | {'T1_WORM': '25'}
T1_MEAL_GRILLEDFISH | 240 | 296 | 56 | {'T1_FISHCHOPS': '10'}
T1_MEAL_SEAWEEDSALAD | 3390 | 9000 | 5610 | {'T1_SEAWEED': '10'}
T3_MEAL_SOUP_FISH | 3484 | 3700 | 216 | {'T5_FISH_FRESHWATER_SWAMP_RARE': '1' and 'T3_COMFREY': '2' and 'T3_WHEAT': '2' and 'T3_MEAT': '2'}
T3_MEAL_PIE_FISH | 1391 | 3000 | 1609 | {'T3_EGG': '1' and 'T3_FLOUR': '1' and 'T3_FISH_FRESHWATER_MOUNTAIN_RARE': '1'}
T5_MEAL_PIE_FISH | 4170 | 8000 | 3830 | {'T5_CABBAGE': '2' and 'T5_EGG': '2' and 'T5_TEASEL': '2' and 'T5_FISH_FRESHWATER_MOUNTAIN_RARE': '1'}
T3_MEAL_OMELETTE_FISH | 672 | 2693 | 2021 | {'T3_FISH_FRESHWATER_STEPPE_RARE': '1' and 'T3_EGG': '1' and 'T3_COMFREY': '1'}
T4_MEAL_STEW_FISH | 1143 | 2800 | 1657 | {'T3_FISH_FRESHWATER_FOREST_RARE': '1' and 'T4_BURDOCK': '1' and 'T4_TURNIP': '1'}
T2_OFF_SHIELD | 48 | 50 | 2 | {'T2_METALBAR': '4' and 'T2_PLANKS': '4'}
T5_OFF_SHIELD | 13940 | 150000 | 136060 | {'T5_PLANKS': '4' and 'T5_METALBAR': '4'}
T5_OFF_BOOK | 12956 | 19000 | 6044 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T3_OFF_TORCH | 700 | 1000 | 300 | {'T3_PLANKS': '4' and 'T3_CLOTH': '4'}
T5_OFF_TORCH | 14188 | 21000 | 6812 | {'T5_CLOTH': '4' and 'T5_PLANKS': '4'}
T4_CAPE | 1316 | 1699 | 383 | {'T4_CLOTH': '4' and 'T4_LEATHER': '4'}
T5_CAPE | 12956 | 15500 | 2544 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T4_CAPEITEM_FW_LYMHURST | 111460 | 122000 | 10540 | {'T1_FACTION_FOREST_TOKEN_1': '1' and 'T4_CAPEITEM_FW_LYMHURST_BP': '1' and 'T4_CAPE': '1'}
T2_BAG | 240 | 299 | 59 | {'T2_CLOTH': '12' and 'T2_LEATHER': '12'}
T4_BAG | 2632 | 2800 | 168 | {'T4_CLOTH': '8' and 'T4_LEATHER': '8'}
